iso_code,continent,location,new_case_per_hundred,people_fully_vaccinated_per_hundred,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy
ETH,Africa,Ethiopia,0.015340668,1.07,104.957,19.8,3.526,1729.927,182.634,7.47,0.3,66.6
KEN,Africa,Kenya,0.006519877,2.97,87.324,20,2.686,2993.028,218.637,2.92,1.4,66.7
MWI,Africa,Malawi,0.001012842,2.83,197.519,18.1,2.979,1095.042,227.349,3.94,1.3,64.26
ZMB,Africa,Zambia,0.003276842,2.83,22.995,17.7,2.48,3689.251,234.499,3.94,2,63.89
ZWE,Africa,Zimbabwe,0.01291398,17.2,42.729,19.6,2.822,1899.775,307.846,1.82,1.7,61.49
AZE,Asia,Azerbaijan,0.457570439,43.06,119.309,32.4,6.018,15847.419,559.812,7.11,4.7,73
BHR,Asia,Bahrain,0.097180396,65.29,1935.907,32.4,2.372,43290.705,151.689,16.52,2,77.29
BGD,Asia,Bangladesh,0.007685347,17.27,1265.036,27.5,5.098,3523.984,298.003,8.38,0.8,72.59
KHM,Asia,Cambodia,0.033275414,77.1,90.672,25.6,4.412,3645.07,270.892,4,0.8,69.82
IND,Asia,India,0.035506659,23.62,450.419,28.2,5.989,6426.674,282.28,10.39,0.53,69.66
IDN,Asia,Indonesia,0.009997764,26.67,145.725,29.3,5.319,11188.744,342.864,6.32,1.04,71.72
ISR,Asia,Israel,0.450844904,61.73,402.606,30.6,11.733,33132.32,93.32,6.74,2.99,82.97
JOR,Asia,Jordan,0.368525844,34.34,109.285,23.2,3.81,8337.49,208.257,11.75,1.4,74.53
KAZ,Asia,Kazakhstan,0.2905192,39.44,6.681,30.6,6.991,24055.588,466.792,7.11,6.7,73.6
KGZ,Asia,Kyrgyzstan,0.039994889,11.38,32.333,26.3,4.489,3393.474,436.362,7.11,4.5,71.45
MYS,Asia,Malaysia,0.653089842,74.37,96.254,29.9,6.293,26808.164,260.942,16.74,1.9,76.16
MNG,Asia,Mongolia,1.613380903,64.27,1.98,28.6,4.031,11840.846,460.043,4.82,7,69.87
SAU,Asia,Saudi Arabia,0.004196297,60.87,15.322,31.9,3.295,49045.411,259.538,17.72,2.7,75.13
KOR,Asia,South Korea,0.098169417,75.46,527.967,43.4,13.914,35938.374,85.998,6.8,12.27,83.03
TUR,Asia,Turkey,0.999550391,57.21,104.914,31.6,8.153,25129.341,171.285,12.13,2.81,77.69
ARE,Asia,United Arab Emirates,0.03640246,86.82,112.442,34,1.144,67293.483,317.84,17.26,1.2,77.97
VNM,Asia,Vietnam,0.125712002,25.06,308.127,32.6,7.15,6171.884,245.465,6,2.6,75.4
AUT,Europe,Austria,0.95119225,62.29,106.749,44.4,19.202,45436.686,145.183,6.35,7.37,81.54
BEL,Europe,Belgium,0.975324471,73.81,375.564,41.8,18.571,42658.576,114.898,4.29,5.64,81.63
BGR,Europe,Bulgaria,1.424444169,21.91,65.18,44.7,20.801,18563.307,424.688,5.81,7.454,75.05
CZE,Europe,Czechia,0.657276811,56.84,137.176,43.3,19.027,32605.906,227.485,6.82,6.63,79.38
DNK,Europe,Denmark,0.511378903,75.88,136.52,42.3,19.677,46682.515,114.767,6.41,2.5,80.9
EST,Europe,Estonia,2.790773837,57.41,31.033,42.7,19.452,29481.252,255.569,4.02,4.69,78.74
FIN,Europe,Finland,0.277865842,69.99,18.136,42.8,21.228,40585.721,153.507,5.76,3.28,81.91
